claim_id,status,scope,claim,source_or_proof,theorem_page,dependencies,notes
LIT-001,[CITED-VERIFIED],arbitrary groups,"The chromatic number of the noncommuting graph on all elements equals the least number of abelian subgroups covering G.","Faber--Laver--McKenzie (1978)","p. 933","A pairwise commuting color class generates an abelian subgroup.","Both graph-to-group directions checked."
LIT-002,[CITED-VERIFIED],arbitrary groups,"No infinite pairwise noncommuting subset is equivalent to finite center index.","B. H. Neumann (1976)","Theorem 6, p. 470","Infinite Ramsey theorem; Lemmas 1, 2, 4 and Corollary 5.","Finite versus arbitrary scope checked."
LIT-003,[CITED-VERIFIED],arbitrary groups,"Finite abelian cover, finite center index, a finite clique bound, and absence of an infinite clique are equivalent.","Faber--Laver--McKenzie (1978)","Theorem 3, pp. 936--937","Definitions nC and FC as in the paper.","Arbitrary-group theorem."
LIT-004,[CITED-VERIFIED],arbitrary groups with finite center index,"nu(G) <= [G:Z(G)]-1; every positive finite nu-value except 2 occurs.","B. H. Neumann (1976)","p. 471","The dihedral examples are stated; their easy verification is omitted by the source.","Neumann's proof only gave log center-index = O(nu^2)."
LIT-005,[CITED-VERIFIED],historical report,"Erdos and Straus report Isaacs bounds of the forms m lesssim (M!)^2 and m gtrsim 2^(M/2).","Erdos--Straus (1976)","p. 311","No reference, construction, or proof supplied.","Verifies the report, not the underlying theorem."
LIT-006,[CITED-VERIFIED],problem statement,"Erdos defines h and reports two-sided exponential bounds due to Pyber, with the lower bound already known to Isaacs.","Erdos (1997)","Problem 26, p. 8","Pyber (1987); unlocated Isaacs proof.","Verifies exact attribution and displayed asymptotic form."
LIT-007,[CITED-VERIFIED],finite groups,"The official Pyber abstract states existence of an absolute c with [G:Z(G)] <= c^n when nu(G) <= n.","Pyber (1987), official publisher abstract","abstract; article pp. 287--295","Full article unavailable.","Only the abstract-level statement is verified."
LIT-008,[UNVERIFIED],finite groups,"Pyber Theorem 6.1 has the explicit bound [G:Z(G)] <= 2^(2^25 m) 2^(3(2+2 log_2 m)^5).","Saccochi (2015), secondary report of Pyber","p. 36; cites Pyber Theorem 6.1","Pyber full text inaccessible.","Do not use as a load-bearing theorem yet."
LIT-009,[UNVERIFIED],groups with finite nu,"There is a finite H with H/Z(H) isomorphic to G/Z(G) and nu(H)=nu(G).","Saccochi (2015), secondary report","Theorem 4.1.1, p. 34; cites Macdonald [13, section 2]","Macdonald (1961) full proof inaccessible.","Finite-reduction hypothesis and proof still need primary verification."
LIT-010,[CITED-VERIFIED],citation provenance,"Bertram's reference [6] for the Isaacs material is I. M. Isaacs, Personal communication.","Bertram (1983), official reference list","reference [6]; later sources point to p. 40","Bertram p. 40 inaccessible.","The original source is not a published proof."
LIT-011,[CITED-VERIFIED],finite extraspecial 2-groups,"A published example reports omega=2r+1, center index 2^(2r), and chi at least 2^r+1 for order 2^(2r+1), attributing it to Isaacs via Bertram.","Abdollahi--Akbari--Maimani (2006)","Example 4.5, p. 488","Bertram (1983), reference [10].","The example itself gives no proof."
LIT-012,[CITED-VERIFIED],finite extraspecial 2-groups,"A later primary paper states omega=2r+1 and points explicitly to Bertram p. 40.","Darafsheh--Ghorbani--Prajapati (2015)","p. 381","Bertram (1983).","Verifies the citation chain, not the missing Isaacs proof."
LIT-013,[CITED-VERIFIED],"explicit group S(2,r)","omega(S(2,r))=2r+1.","Isik (2005), accessible unpublished manuscript","Theorem 12, pp. 6--7","Symplectic-form construction and linear-independence upper bound.","Does not establish the abelian-cover lower bound."
LIT-014,[UNVERIFIED],groups with finite nu,"f(1)=1 and f(n)=n+binom(n,2)f(n-1) give a(G)<=f(nu(G))<(nu(G)!)^2 for nu>1.","Saccochi (2015), secondary reconstruction of Isaacs","Theorem 4.3.2, pp. 48--50","Centralizer-intersection clique drop; Bertram/private communication.","Proof is readable but not the original primary source."
LIT-015,[UNVERIFIED],finite extraspecial 2-groups,"For order 2^(2r+1), omega=2r+1 and a(G)>=2^r+1.","Saccochi (2015), secondary reconstruction","Theorem 5.2.7, pp. 56--59","Maximum abelian-subgroup order 2^(r+1); central-coset count.","All-isomorphism-types proof and cited subgroup-order input need independent audit."
LIT-016,[CITED-VERIFIED],citation audit,"Pakianathan--Yalcin state the Isaacs factorial inequality but their pointer [J] resolves to Jacobson's Basic Algebra I.","Pakianathan--Yalcin (2001)","pp. 396--397 and bibliography","None.","Citation defect; not a valid source for Isaacs."
LIT-017,[DISPROVED],all n>=1,"The proposed formula h(n)=max(n,2^floor((n-1)/2)+1) is false at the boundary.","Self-contained boundary proof in literature/review.md","section 'Search for the proposed sharp formula'","If xy!=yx then x,y,xy are pairwise noncommuting, so h(1)=h(2)=1 while the proposed RHS is 2.","A stronger n=7 counterexample is LIT-018."
LIT-018,[DISPROVED],n>=3,"The restricted sharp formula is false at n=7 and n=8.","Repository proof: notes/candidate_bound.md","Theorem CB.1","An order-3^5 symplectic Heisenberg group H has nu(H)=7 and a(H)=10; the candidate gives 9 at n=7 and n=8.","Proof is independent of computation."
LIT-019,[CITED-VERIFIED],n>=3,"The dihedral examples stated by Neumann plus a(G)>=nu(G) supply the linear lower branch h(n)>=n.","B. H. Neumann (1976)","p. 471","Existence for every finite nu-value except 2.","Source omits the easy verification of the examples."
LIT-020,[UNVERIFIED],n>=3,"The reported extraspecial construction and monotonicity would give h(n)>=2^floor((n-1)/2)+1 for every n>=3.","Abdollahi--Akbari--Maimani Example 4.5; Saccochi Theorem 5.2.7","p. 488; pp. 56--59","Primary proof of the cover lower bound still missing.","Lower bound only; no matching universal upper bound."
LIT-021,[CITED-VERIFIED],2025 forward citation,"A full 2025 Pyber-citing paper concerns proper-subgroup covers of p-elements and contains no new universal h(n) or center-index exponent bound.","Maroti--Martinez--Moreto (2025)","p. 2 and full-paper scope","None.","Primary full text read."
LIT-022,[UNVERIFIED],forward search through 2026-08-13,"No located 2025/2026 forward citation resolves Problem 117, the restricted exact formula, or the asymptotic exponential constant.","OpenAlex forward set plus DOI/title/full-text searches","source_audit.md","OpenAlex returned 53 indexed citing works, not an exhaustive universe.","Do not interpret as proof of absence."
LIT-023,[UNVERIFIED],current database status,"The Erdős Problems index snapshot labels Problem 117 OPEN, reports no claimed partial/complete solution in comments, and says last edited 2026-01-23.","erdosproblems.com search-index snapshot","Problem 117","Direct page returned HTTP 403.","Secondary status signal only."
LIT-024,[UNVERIFIED],candidate recurrence,"No located primary source states nu(C_G(x))<=nu(G)-2 or the induced recurrence h(n)<=n h(n-2).","Full-text corpus and exact/alternate web searches through 2026-08-13","source_audit.md","Saccochi pp. 48--50 proves only omega(C_G(x) intersection C_G(y))<omega(G) for noncommuting x,y.","The repository proof is LIT-026/027; literature absence remains index-bounded."
